Date;Description;Amount
15.07.2026;Salary;1000
15.07.2025;Salary;1000
15.07.2024;Salary;1000
15.07.2023;Salary;1000
15.07.2022;Salary;1000
15.07.2021;Salary;1000
15.07.2020;Salary;1000
15.07.2019;Salary;1000
15.07.2018;Salary;1000
15.07.2017;Salary;1000
15.07.2016;Salary;1000
15.07.2015;Salary;1000
15.07.2014;Salary;1000
15.07.2013;Salary;1000
15.07.2012;Salary;1000
15.07.2011;Salary;1000
15.07.2010;Salary;1000
15.07.2009;Salary;1000
15.07.2008;Salary;1000
15.07.2007;Salary;1000
15.07.2006;Salary;1000
15.07.2005;Salary;1000
15.07.2004;Salary;1000
